subject,Ntrial_1,Ntrial_2,Age,Gender,L1,Tested,EHI,dom_L1,dom_L2,dom_L3,dom_L4,dom_L5,NoL,aoa_L1,aoa_L2,aoa_L3,aoa_L4,aoa_L5,exp_L1,exp_L2,exp_L3,exp_L4,exp_L5,read_L1,read_L2,read_L3,read_L4,read_L5,speak_L1,speak_L2,speak_L3,speak_L4,speak_L5,cult_1,cult_rating1,cult_2,cult_rating2,cult_3,cult_rating3,cult_4,culd_rating4,cult_5,cult_rating5,edu_Years,,,,,,,,,,,,Experience,impair_seeing,imapir_hearing,impair_speaking,impair_learning,impair_pecification,L1,,L1_Acquisition,L1_Fluent,L1_Reading,L1_ReadingFluent,L1_Country spoken yrs,L1_Family spoken yrs,L1_School/Work yrs,L1_prof_Speaking,L1_prof_Understanding,L1_prof_Reading,L1_learn_Friends,L1_learn_Teaching,L1_learn_Family,L1_learnTV,L1_learnReading,L1_learnRadio,L1_exp_Friends,L1_exp_Radio,L1_exp_Family,L1_exp_Reading,L1_exp_TV,L1_exp_Teaching,L1_learn_Accent,L1_exp_Accent realise,L2,,L2_Acquisition,L2_Fluent,L2_Reading,L2_ReadingFluent,L2_Country spoken yrs,L2_Family spoken yrs,L2_School/Work yrs,L2_prof_Speaking,L2_prof_Understanding,L2_prof_Reading,L2_learn_Friends,L2_learn_Teaching,L2_learn_Family,L2_learn_TV,L2_learn_Reading,L2_learn_Radio,L2_exp_Friends,L2_exp_Radio,L2_exp_Family,L2_exp_Reading,L2_exp_TV,L2_exp_Teaching,L2_exp_Accent,L2_exp_Accent realise,L3,,L3_Acquisition,L3_Fluent,L3_Reading,L3_ReadingFluent,L3_Country spoken yrs,L3_Family spoken yrs,L3_School/Work yrs,L3_prof_Speaking,L3_prof_Understanding,L3_prof_Reading,L3_learn_Friends,L3_learn_Teaching,L3_learn_Family,L3_learn_TV,L3_learn_Reading,L3_learn_Radio,L3_exp_Friends,L3_exp_Radio,L3_exp_Family,L3_exp_Reading,L3_exp_TV,L3_exp_Teaching,L3_exp_Accent,L3_exp_Accent realise,L4,,L4_Acquisition,L4_Fluent,L4_Reading,L4_ReadingFluent,L4_Country spoken yrs,L4_Country spoken mnth,L4_Family spoken yrs,L4_Family spoken mnth,L4_School/Work yrs,L4_School/Work mnths,L4_prof_Speaking,L4_prof_Understanding,L4_prof_Reading,L4_learn_Friends,L4_learn_Teaching,L4_learn_Family,L4_learn_TV,L4_learn_Reading,L4_learn_Radio,L4_exp_Friends,L4_exp_Radio,L4_exp_Family,L4_exp_Reading,L4_exp_TV,L4_exp_Teaching,L4_exp_Accent,L4_exp_Accent realise,L5,,L5_Acquisition,L5_Fluent,L5_Reading,L5_ReadingFluent,L5_Country spoken yrs,L5_Country spoken mnth,L5_Family spoken yrs,L5_Family spoken mnth,L5_School/Work yrs,L5_School/Work mnths,L5_prof_Speaking,L5_prof_Understanding,L5_prof_Reading,L5_learn_Friends,L5_learn_Teaching,L5_learn_Family,L5_learn_TV,L5_learn_Reading,L5_learn_Radio,L5_exp_Friends,L5_exp_Radio,L5_exp_Family,L5_exp_Reading,L5_exp_TV,L5_exp_Teaching,L5_exp_Accent,L5_exp_Accent realise
14,22,21,22,1,2,1,77.27272727,French,English,Spanish,,,3,French,English,Spanish,,,20,80,,,,60,40,0,,,40,40,20,,,French,10,Vietnamese,3,Argentinian,5,European,8,Italien,5,5,0,0,1,0,0,0,0,0,0,,,,0,0,0,0,,French,Muttersprache,3,6,6,8,20,20,20,10,10,10,10,10,10,10,10,10,3,5,10,3,0,0,0,0,English,1. Fremdsprache,9,13,11,16,3,0,2,9,9,9,10,0,0,10,5,5,10,5,0,8,10,0,3,5,Spanish,2. Fremdsprache,14,18,14,18,0.75,0,0.75,5,4,4,10,,,,5,,,,,,,,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,20,23,0,1,1,100,German,English,Spanish,French,,4,German,English,French,Spanish,,15,85,,,,40,60,,,,,100,,,,German,9,English,7,,,,,,,16,0,1,0,0,0,0,,0,0,0,,2001-12; 9 Monate,0,0,0,0,,German,Muttersprache,0,0,5,6,18,18,13,10,10,10,,,,,,,5,2,10,4,1,0,0,0,English,1. Fremdsprache,7,7,7,7,2,0.4,0.5,9,9,9,10,0,0,5,10,1,5,5,0,9,2,0,2,6,French,2. Fremdsprache,12,,12,,,,,5,5,7,0,0,1,0,10,0,0,1,2,2,0,0,6,10,Spanish,3. Fremdsprache,13,19,19,19,,9,,9,,,7,8,8,10,0,10,5,5,1,3,4,0,3,1,0,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,19,22,22,0,1,0,95.45454545,English,German,French,Spanish,,4,German,English,French,Spanish,,10,90,0,0,,,100,,,,15,45,40,,,German,8,English,9,,,,,,,16,0,1,0,0,0,0,,0,1,0,,Schweiz (French sprechend) - 1 Jahr; Germanland 1 Jahr.,0,0,0,0,,German,Muttersprache,0,0,12,12,0.75,18,8,9,10,10,10,0,10,7,7,0,2,0,3,1,0,0,2,1,English,1. Fremdsprache,4,5,6,8,19,15,15,10,10,10,10,0,2,9,9,3,8,1,0,10,1,0,1,0,French,2. Fremdsprache,12,15,12,15,0.8,,0.8,7,8,8,10,8,0,5,10,0,1,0,0,1,0,0,4,10,Spanish,3. Fremdsprache,13,18,13,18,,3,,1,,,5,6,6,10,7,10,7,5,0,0,0,0,0,0,0,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,22,20,22,0,2,0,72.72727273,English,French,Italien,,,3,French,English,Italien,,,25,65,10,,,10,90,,,,5,90,5,,,International,9,British,7,French,5,Italien,4,,,,0,0,0,0,1,0,0,0,0,,,"Angleterre, 10/2011",0,0,0,0,,French,Muttersprache,1,2,2,4,18,22,18,10,10,10,9,0,9,3,10,1,4,0,4,2,0,0,1,2,English,1. Fremdsprache,11,18,15,17,4.2,0.2,4.2,10,10,10,5,4,0,8,6,2,8,9,0,9,10,3,1,4,Italien,2. Fremdsprache,10,16,14,14,0.3,0.3,0,6,8,9,1,4,6,2,7,0,5,0,2,3,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,23,22,19,0,2,1,90.90909091,English,French,Spanish,,,3,French,English,Spanish,,,25,0,,,,10,0,,,,50,0,,,,French,9,Spanish,3,English,3,,,,,14,0,0,0,1,0,0,0,0,0,,,"J'ai toujours eté expat: Grece, Bresil (5 ans), Hong Kong (1.5 ans), Egypte (3 ans), UK (9 ans) ",0,0,0,0,,French,Muttersprache,0,3,5,7,0,19,2,9,10,8,6,0,10,1,7,0,2,2,10,0,3,0,0,0,English,1. Fremdsprache,7,9,8,10,9,0,12,10,10,10,8,0,0,6,10,0,8,4,1,10,7,0,1,2, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22,23,18,0,1,0,63.63636364,German,English,,,,2,German,English,,,,30,70,,,,20,80,,,,30,70,,,,German,9,,,,,,,,,11,0,1,0,0,0,0,,0,0,0,,3 Jahre in einem Internat in England in 2011/12 sowie 2013-15,0,0,0,0,,German,Muttersprache,0,0,5,8,18,18,8,10,10,10,9,1,9,7,8,4,8,4,9,5,6,1,0,0,English,1. Fremdsprache,8,14,11,13,3.2,0,3.2,9,9,9,10,1,5,5,8,4,10,5,3,1,5,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,23,23,23,0,2,0,68.18181818,English,French,German,Spanish,,4,French,English,German,Spanish,,10,70,20,0,,40,50,10,0,,40,20,40,0,,French,,English,,German,,,,,,21 annees,0,0,1,0,0,0,0,0,0,,2001,Angleterre 1993,0,0,1,0,"problemes de prononciation qui se centraient sur ma langue/ma bouche, et qui ont necessite l'aide d'un orthodontiste pendant quelque mois; j'avais 12 ans, il me semble. ",French,Muttersprache,0,2,4,7,9,17,21,9,10,9,7,0,5,5,10,1,1,1,4,4,2,0,2,1,English,1. Fremdsprache,0,2,4,7,14,17,21,10,10,10,10,0,7,5,6,1,8,9,7,6,9,0,0,1,German,2. Fremdsprache,11,15,12,19,1,0.25,7,8,8,8,5,6,0,3,7,3,2,2,0,8,3,0,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,23,22,25,0,1,1,68.18181818,German,English,Dansk,French,,4,German,English,Franzoesisch,Dansk,,10,90,0,,,60,30,0,10,,80,20,0,0,,Austrian,9,British,4,Dansk,5,European,10,,,17,0,0,0,0,0,0,,0,1,0,,"In Oesterreich aufgewachsen, dann 1 Jahr in Daenemark, 4 Jahre in Schottland",0,0,0,0,,German,Muttersprache,0,0,5,6 1/2,19,25,13,10,10,10,10,0,10,3,5,1,4,1,7,5,1,0,4,4,English,1. Fremdsprache,10,14,10,14,4.2,0,4.2,8,8,9,1,7,0,0,5,0,,,,,,,6,8,Dansk,2. Fremdsprache,19,19,19,20,1,1,1,,,,3,5,10,5,5,0,3,0,0,1,3,0,4,5,French,3. Fremdsprache,12,,12,,,5,,2,,,2,3,5,1,7,0,0,5,0,0,0,0,1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,23,21,20,0,2,1,59.09090909,French,English,Italien,German,Spanish,5,French,English(ex aecqo),Italien,German,Spanish,20,77,3,0,,50,50,,,,60,40,0,0,,French,9,English,7,Italien,5,German,1,Spanish,,BAC + 4 a la fin de l'année scolaire 15/16,0,0,0,0,0,0,0,0,0,,,,1,0,0,0,je suis myope,French,Muttersprache,0,0,5,6,19,20.3,15,10,10,10,8,1,10,1,9,1,5,3,5,8,3,0,0,0,English,Muttersprache,0,0,5,6,4,20.3,16,10,10,10,8,1,10,1,9,1,5,3,5,8,3,0,0,0,Italien,,6,8,8,,2,,,7,7,4,6,6,6,,,,2,0,2,0,1,2,5,7,German,3. Fremdsprache,10,0,10,0,0,,0,,5,,5,5,5,,,,,,,1,1,1,1,1,1,6,10,Spanish,4. Fremdsprache,12,0,12,0,0,0,0,,5,,5,5,5,,,,,,,3,1,1,1,1,1,6,10
31,23,22,20,1,2,1,68.18181818,French,English,German,Turkish,Spanish,5,English,French,German,Spanish,Turkish,70,20,,,10,60,40,,,,50,50,,,,French,9,English,8,Scottish,6,,,,,,0,0,0,1,0,0,0,0,0,,1998,Royaume-Uni (01/10/2015),0,0,0,0,,French,1.Fremdsprache,3,7,4,9,17,20.75,17,10,10,10,10,0,8,4,8,1,5,4,7,5,5,0,0,0,English,Muttersprache,0,3,4,6,3.5,20.75,0.3,10,10,10,1,0,10,7,9,1,8,7,8,8,8,0,0,1,German,2. Fremdsprache,8,,15,,0,0,0,3,6,4,5,0,0,0,7,0,0,0,0,2,0,0,5,9,Turkish,3. Fremdsprache,18,0,18,-,0,,0,,0,,3,4,4,5,,0,0,8,0,2,0,0,2,0,0,6,9,Spanish,4. Fremdsprache,13,0,14,0,0,,0,,0,,2 - faible,6,7 - bon,5 - contribué moyennement,0,0,0,5 - contribué moyennement,0,1,0,0,1,0,0,7,10
