"ID","L2.Comment","L2.nMark","L2.nSpike","L2.nExtreme","L2.N","L2.peak_LI","L2.peak_latency","L2.peak_se","L2.peak_laterality","L2.peak_odd","L2.peak_even","L2.mean_LI","L2.mean_se","L2.mean_laterality","L2.mean_odd","L2.mean_even","L2.exclusions"
14,NA,"23","4","0","20","3.65","14.36","1.523","L","0.976","6.324","2.253","1.326","bilat","-0.415","4.921",1
16,NA,"23","6","5","21","5.428","12.68","0.739","L","4.868","6.044","4.271","0.598","L","3.84","4.744",0
17,NA,"23","2","0","19","5.471","19.96","0.929","L","5.434","5.513","3.968","0.683","L","4.065","3.86",0
20,NA,"23","1","0","20","4.467","10.76","0.826","L","4.682","4.252","4.124","0.806","L","3.806","4.442",0
22,NA,"23","3","0","23","1.227","12.52","0.771","bilat","1.237","1.216","0.83","0.672","bilat","0.683","0.99",0
24,NA,"23","4","0","14","5.219","14.2","0.897","L","5.256","5.181","4.1","0.608","L","4.402","3.798",0
26,NA,"23","5","5","21","3.246","19.4","0.659","L","4.312","2.074","2.284","0.46","L","2.985","1.513",0
27,NA,"23","4","0","22","4.255","13.72","0.759","L","4.483","4.027","3.595","0.794","L","3.7","3.49",0
28,NA,"23","5","0","22","4.713","16.2","1.159","L","5.481","3.945","3.567","1.011","L","3.941","3.194",0
31,NA,"23","4","252","21","3.25","11.56","0.635","L","4.693","1.664","2.136","0.547","L","3.213","0.951",0
32,NA,"23","1","0","21","2.717","16.44","0.778","L","3.494","1.862","2.005","0.621","L","2.52","1.439",0
36,NA,"23","1","0","18","3.54","12.2","0.846","L","4.81","2.27","2.904","0.766","L","3.791","2.016",0
37,NA,"23","0","0","23","1.781","8.76","0.482","L","2.293","1.223","1.33","0.299","L","1.391","1.264",0
39,NA,"23","1","0","23","4.086","16.6","0.774","L","5.152","2.923","3.127","0.775","L","3.961","2.216",0
40,NA,"23","5","0","22","5.174","13","0.959","L","5.403","4.946","4.368","0.759","L","3.954","4.782",0
41,NA,"23","3","0","23","1.781","13.56","0.382","L","1.554","2.028","1.471","0.332","L","1.532","1.404",0
42,NA,"23","2","0","23","5.062","11.4","0.796","L","4.758","5.394","4.793","0.679","L","4.991","4.577",0
43,NA,"23","2","0","21","2.606","13.48","0.95","L","2.233","3.016","1.105","0.693","bilat","0.778","1.466",0
44,NA,"23","5","0","22","3.112","18.44","0.603","L","2.899","3.326","2.961","0.509","L","3.266","2.655",0
45,NA,"23","2","0","22","7.284","12.28","0.93","L","5.731","8.837","6.119","0.622","L","5.153","7.085",0
46,NA,"23","4","0","23","1.557","11.96","0.384","L","2.094","0.971","1.175","0.286","L","1.785","0.51",0
48,NA,"23","5","0","22","3.667","19.8","0.844","L","3.37","3.964","2.962","0.863","L","1.669","4.255",0
49,NA,"23","4","0","22","3.451","12.6","0.427","L","3.249","3.653","2.919","0.348","L","2.986","2.851",0
51,NA,"23","3","0","19","3.412","14.2","0.625","L","2.93","3.947","2.176","0.434","L","1.825","2.567",0
53,NA,"23","3","0","22","2.114","12.76","0.774","L","0.764","3.465","0.927","0.684","bilat","0.006","1.848",0
54,NA,"23","3","0","22","3.384","11.16","0.646","L","2.442","4.327","2.529","0.461","L","1.896","3.161",0
