"ID","L2_Phon.Comment","L2_Phon.nMark","L2_Phon.nSpike","L2_Phon.nExtreme","L2_Phon.N","L2_Phon.peak_LI","L2_Phon.peak_latency","L2_Phon.peak_se","L2_Phon.peak_laterality","L2_Phon.peak_odd","L2_Phon.peak_even","L2_Phon.mean_LI","L2_Phon.mean_se","L2_Phon.mean_laterality","L2_Phon.mean_odd","L2_Phon.mean_even","L2_Phon.exclusions","L2_Sem.Comment","L2_Sem.nMark","L2_Sem.nSpike","L2_Sem.nExtreme","L2_Sem.N","L2_Sem.peak_LI","L2_Sem.peak_latency","L2_Sem.peak_se","L2_Sem.peak_laterality","L2_Sem.peak_odd","L2_Sem.peak_even","L2_Sem.mean_LI","L2_Sem.mean_se","L2_Sem.mean_laterality","L2_Sem.mean_odd","L2_Sem.mean_even","L2_Sem.exclusions"
6,"NA Trigger channel started in 'up' position.","20","0","0","20","1.782","13.48","0.701","L","0.731","2.833","1.092","0.642","bilat","0.125","2.058",0,"NA Trigger channel started in 'up' position.","20","0","0","20","0.639","13.32","0.638","bilat","0.414","0.864","0.212","0.556","bilat","-0.241","0.666",0
7,"NA Trigger channel started in 'up' position.","20","0","0","19","-5.06","19.88","1.093","R","-3.139","-7.195","-3.913","0.917","R","-2.539","-5.44",0,"NA Trigger channel started in 'up' position.","20","0","0","19","-1.962","7.72","0.851","R","-1.968","-1.956","-0.486","0.88","bilat","-1.248","0.362",0
8,"NA Trigger channel started in 'up' position.","20","2","0","20","5.057","10.36","1.112","L","5.037","5.077","4.176","0.922","L","3.79","4.563",0,"NA Trigger channel started in 'up' position.","20","0","0","20","2.972","9","0.719","L","2.807","3.138","2.442","0.682","L","2.402","2.482",0
12,"NA Trigger channel started in 'up' position.","20","0","0","19","3.091","19.4","0.604","L","2.445","3.808","1.88","0.455","L","1.806","1.962",0,"NA Trigger channel started in 'up' position.","20","0","0","19","1.224","15.24","0.893","bilat","0.63","1.883","0.78","0.811","bilat","0.15","1.48",0
15,"NA Trigger channel started in 'up' position.","20","0","0","20","3.268","14.92","0.563","L","3.324","3.212","2.179","0.374","L","2.26","2.098",0,"NA Trigger channel started in 'up' position.","20","2","0","19","3.764","18.04","0.442","L","2.888","4.739","2.916","0.285","L","2.323","3.575",0
16,NA,"20","2","0","20","7.241","19.48","1.117","L","6.498","7.984","4.864","0.946","L","4.477","5.25",0,NA,"20","0","0","20","4.845","17.8","0.961","L","3.57","6.12","3.526","0.823","L","2.709","4.343",0
17,"NA Trigger channel started in 'up' position.","20","0","0","20","5.48","6.76","0.672","L","4.652","6.307","4.467","0.555","L","3.533","5.402",0,"NA Trigger channel started in 'up' position.","20","0","0","20","4.299","7.48","0.864","L","5.818","2.78","3.168","0.761","L","4.241","2.095",0
18,"NA Trigger channel started in 'up' position.","20","0","0","19","3.291","18.04","0.742","L","2.897","3.729","1.969","0.491","L","1.769","2.191",0,NA,"20","0","0","20","2.867","17.72","0.607","L","3.214","2.52","1.736","0.536","L","2.315","1.158",0
19,"NA Trigger channel started in 'up' position.","20","2","0","20","5.129","14.2","0.569","L","5.702","4.557","4.291","0.545","L","4.252","4.33",0,"NA Trigger channel started in 'up' position.","20","0","0","20","3.398","13.4","0.421","L","4.148","2.648","2.742","0.4","L","2.845","2.639",0
20,NA,"20","9","0","19","5.142","10.84","0.982","L","4.666","5.672","3.563","0.809","L","2.976","4.216",0,NA,"20","0","0","20","4.057","17.88","1.201","L","4.381","3.733","3.194","1.1","L","2.58","3.809",0
22,"NA Trigger channel started in 'up' position.","20","0","0","20","3.009","11.48","0.618","L","3.169","2.848","1.947","0.562","L","1.962","1.932",0,"NA Trigger channel started in 'up' position.","20","2","0","20","2.472","10.68","0.557","L","1.933","3.01","1.834","0.467","L","1.76","1.908",0
23,"NA Trigger channel started in 'up' position.","20","0","0","20","2.61","9.4","0.534","L","2.635","2.584","2.482","0.48","L","2.14","2.823",0,"NA Trigger channel started in 'up' position.","20","0","0","20","1.523","19.24","0.495","L","2.166","0.88","1.336","0.393","L","1.235","1.437",0
24,"NA Trigger channel started in 'up' position.","20","6","0","19","2.646","9.32","0.536","L","1.837","3.545","1.721","0.376","L","1.363","2.12",0,"NA Trigger channel started in 'up' position.","20","0","0","20","2.919","18.36","0.653","L","3.641","2.198","2.364","0.6","L","3.803","0.926",0
25,NA,"20","0","0","20","3.121","15.32","0.722","L","3.568","2.673","2.27","0.61","L","3.02","1.52",0,NA,"20","0","0","20","0.988","12.68","0.813","bilat","-0.303","2.28","0.298","0.663","bilat","-0.816","1.411",0
26,"NA Trigger channel started in 'up' position.","20","0","0","20","1.58","14.28","0.459","L","1.309","1.851","0.729","0.41","bilat","0.394","1.064",0,"NA Trigger channel started in 'up' position.","20","0","0","20","1.509","15.32","0.454","L","1.712","1.306","0.48","0.39","bilat","0.61","0.349",0
30,"NA Trigger channel started in 'up' position.","20","1","0","20","2.656","19.24","0.336","L","2.399","2.914","1.573","0.282","L","1.52","1.626",0,"NA Trigger channel started in 'up' position.","20","2","0","20","3.025","11.48","0.483","L","3.007","3.042","2.211","0.441","L","2.067","2.355",0
31,"NA Trigger channel started in 'up' position.","20","4","0","19","1.626","7.64","0.493","L","1.67","1.576","1.056","0.397","L","1.099","1.009",0,"NA Trigger channel started in 'up' position.","20","0","0","20","1.472","15.88","0.363","L","2.041","0.904","1.121","0.378","L","1.5","0.742",0
32,"NA Trigger channel started in 'up' position.","20","0","0","20","3.89","14.6","0.512","L","3.965","3.816","2.555","0.519","L","2.312","2.798",0,"NA Trigger channel started in 'up' position.","20","6","0","19","4.371","14.12","0.414","L","4.733","3.969","2.489","0.382","L","3.142","1.764",0
2,"NA Trigger channel started in 'up' position.","20","0","0","20","7.521","19.64","0.6","L","8.024","7.018","5.937","0.54","L","6.291","5.583",0,"NA Trigger channel started in 'up' position.","20","0","0","20","5.963","13.56","0.691","L","6.616","5.31","4.886","0.711","L","5.346","4.425",0
3,"NA Trigger channel started in 'up' position.","20","0","0","20","1.624","7.24","0.75","L","2.651","0.597","1.259","0.504","L","1.614","0.903",0,"NA Trigger channel started in 'up' position.","20","0","0","20","3.246","7.56","1.025","L","3.59","2.901","1.647","0.728","L","1.484","1.81",0
4,NA,"20","0","38","18","-1.08","13","0.687","bilat","-0.218","-1.942","-0.545","0.537","bilat","0.121","-1.211",0,NA,"20","0","0","18","-2.785","17.24","0.728","R","-2.847","-2.723","-1.483","0.649","R","-1.539","-1.427",0
5,"NA Trigger channel started in 'up' position.","20","0","0","20","0.85","14.28","0.439","bilat","1.062","0.639","0.537","0.414","bilat","0.34","0.734",0,"NA Trigger channel started in 'up' position.","20","0","0","19","1.075","13.24","0.437","L","1.107","1.039","0.67","0.365","bilat","0.718","0.616",0
10,"NA Trigger channel started in 'up' position.","20","0","0","18","0.921","13.96","0.83","bilat","0.402","1.441","0.483","0.681","bilat","-0.069","1.035",0,"NA Trigger channel started in 'up' position.","20","0","18","15","-0.3","17.16","0.702","bilat","0.986","-1.769","-0.033","0.479","bilat","0.644","-0.808",0
14,NA,"20","0","0","17","-6.83","6.28","0.758","R","-7.088","-6.539","-3.144","0.72","R","-3.46","-2.789",0,NA,"20","0","0","16","-2.199","7.88","0.701","R","-1.667","-2.731","0.475","0.667","bilat","0.68","0.269",0
27,NA,"20","0","0","20","2.43","12.92","0.402","L","1.954","2.906","2.075","0.375","L","1.946","2.205",0,NA,"20","0","0","18","1.093","11.8","0.595","bilat","0.864","1.321","0.608","0.431","bilat","0.566","0.65",0
28,"NA Trigger channel started in 'up' position.","20","0","0","20","2.141","15.64","0.58","L","0.95","3.332","0.941","0.403","L","0.286","1.595",0,"NA Trigger channel started in 'up' position.","20","3","0","15","1.991","12.6","0.531","L","3.065","0.764","1.602","0.539","L","2.379","0.715",0
