ID,L1.Comment,L1.nMark,L1.nSpike,L1.nExtreme,L1.N,L1.peak_LI,L1.peak_latency,L1.peak_se,L1.peak_laterality,L1.peak_odd,L1.peak_even,L1.mean_LI,L1.mean_se,L1.mean_laterality,L1.mean_odd,L1.mean_even,L1.exclusions
14,NA . Manual override 8 trial 3 . Manual override 8 trial 4 . Manual override 8 trial 7 . Manual override 8 trial 9 . Manual override 8 trial 22,23,2,0,21,2.586,19.8,1.335,bilat,4.492,0.49,0.666,1.614,bilat,1.663,-0.431,1
16,NA . Manual override 8 trial 12 . Manual override 8 trial 14 . Manual override 8 trial 15 . Manual override 8 trial 16,23,4,22,21,7.445,15.96,0.73,L,8.142,6.679,5.641,0.682,L,6.533,4.66,0
17,NA . Manual override 8 trial 2 . Manual override 8 trial 22,23,4,0,20,5.779,15,0.631,L,5.639,5.919,4.58,0.561,L,4.277,4.884,0
20,NA . Manual override 8 trial 11 . Manual override 8 trial 12 . Manual override 8 trial 13 . Manual override 8 trial 14 . Manual override 9 trial 17 . Manual override 8 trial 18 . Manual override 8 trial 19 . Manual override 8 trial 21 . Manual override 9 trial 23,23,3,0,21,5.792,12.12,0.868,L,6.206,5.336,4.971,0.84,L,5.221,4.696,0
22,NA . Manual override 8 trial 4 . Manual override 8 trial 7 . Manual override 8 trial 15 . Manual override 8 trial 16 . Manual override 8 trial 19,23,1,0,23,2.513,18.84,0.545,L,2.867,2.128,1.849,0.585,L,2.591,1.04,0
24,NA . Manual override 8 trial 1 . Manual override 9 trial 2 . Manual override 8 trial 4 . Manual override 8 trial 5 . Manual override 9 trial 6,23,1,0,16,5.093,17.24,0.753,L,4.526,5.659,3.57,0.67,L,2.521,4.619,0
26,NA,23,0,0,23,3.302,16.6,0.791,L,3.023,3.605,2.343,0.641,L,2.276,2.415,0
27,NA . Manual override 8 trial 16,23,3,0,23,5.734,17.48,0.484,L,5.256,6.254,4.24,0.451,L,4.027,4.473,0
28,NA . Manual override 8 trial 14,23,3,0,23,2.775,11.48,0.851,L,1.991,3.63,2.357,0.711,L,1.873,2.885,0
31,NA . Manual override 9 trial 23,23,4,0,22,3.557,19.32,0.759,L,4.258,2.857,2.555,0.726,L,2.668,2.442,0
32,NA . Manual override 9 trial 8 . Manual override 9 trial 11 . Manual override 8 trial 14,23,4,0,21,2.476,19.72,0.681,L,2.248,2.727,1.287,0.514,L,0.729,1.901,0
36,NA . Manual override 9 trial 4 . Manual override 9 trial 6 . Manual override 9 trial 15 . Manual override 9 trial 18,23,3,0,18,4.25,13.88,0.867,L,3.515,4.984,3.173,0.79,L,2.031,4.314,0
37,NA,23,2,0,23,1.925,18.52,0.49,L,1.684,2.188,1.62,0.502,L,1.189,2.09,0
39,NA,23,0,0,23,3.343,18.52,0.849,L,2.886,3.842,2.383,0.728,L,2.288,2.486,0
40,NA,23,0,0,23,4.564,15,0.761,L,4.59,4.535,3.681,0.605,L,3.974,3.361,0
41,NA,23,3,0,23,1.725,19.4,0.373,L,1.305,2.183,1.48,0.297,L,1.163,1.826,0
42,NA,23,1,0,23,2.393,9.96,0.533,L,2.86,1.884,1.611,0.559,L,2.205,0.964,0
43,NA . Manual override 9 trial 2 . Manual override 9 trial 11,23,3,0,21,2.204,14.44,0.82,L,1.752,2.701,1.523,0.709,L,1.482,1.567,0
44,NA . Manual override 8 trial 18,23,1,0,23,2.856,17.24,0.427,L,2.764,2.956,2.516,0.374,L,2.904,2.093,0
45,NA,23,0,0,23,9.117,16.6,0.656,L,9.556,8.639,8.25,0.588,L,8.464,8.017,0
46,NA,23,2,0,23,-0.665,8.2,0.422,bilat,-0.052,-1.333,0.113,0.431,bilat,0.519,-0.33,0
48,NA,23,2,0,23,3.224,10.6,0.993,L,4.576,1.75,2.864,0.885,L,3.532,2.135,0
49,NA,23,1,0,23,2.043,10.2,0.537,L,2.276,1.789,1.183,0.445,L,1.234,1.126,0
51,NA . Manual override 9 trial 2 . Manual override 9 trial 15 . Manual override 9 trial 22 . Manual override 9 trial 23,23,0,0,19,1.751,16.44,0.906,bilat,1.614,1.904,1.119,0.737,bilat,1.173,1.06,0
53,NA,23,0,15,22,1.97,12.68,0.598,L,1.514,2.426,1.243,0.474,L,1.249,1.238,0
54,NA . Manual override 9 trial 5,23,0,0,22,2.181,13.64,0.652,L,2.564,1.797,1.791,0.486,L,1.964,1.618,0
