subject,Gender,Age,length_stay_outsideJP_months,Selfassessment,aoa_L2,length_learnEng_months,length_useEng_months,length_in_education_yrs,Eng_score,Eng_Speak,Eng_Listen,Eng_Read,Eng_Write,JPhon_words,JPhon_acc,JPhon_total_corr,JSem_words,JSem_acc,JSem_total_corr,EPhon_words,EPhon_acc,EPhon_total_corr,ESem_words,ESem_acc,ESem_total_corr,filter_.,Diff_Phon,Diff_Sem,Abs_Diff_Sem,Abs_Diff_Phon
BL6                                                                                                                                                                                                                                                          ,1,39,110,7,13,84,120,22,49,80,80,70,90,8.05,100,161,9.55,100,191,8.65,100,173,8.65,100,173,NA,-0.74,-2.22,2.22,0.74
BL7,NA,20,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BL8                                                                                                                                                                                                                                                            ,0,19,233,7,3,192,192,16,54,60,60,50,90,5.2,100,104,5.25,100,105,6.55,100,133,5.2,100,104,Not Selected,1.02,-0.99,0.99,1.02
BL12                                                                                                                                                                                                                                                           ,0,19,153,6,7,153,153,12,50,40,40,80,80,5.1,99.03,102,7.65,95.63,153,6.25,100,125,9.3,100,186,Selected,0.1,0.01,0.01,0.1
BL15                                                                                                                                                                                                                                                           ,0,34,48,5,13,144,72,18,50,40,50,50,30,8.9,100,178,9,98.36,180,7.1,100,142,7.75,100,155,Selected,0.53,1.15,1.15,0.53
BL16                                                                                                                                                                                                                                                           ,0,21,159,6,3,195,135,18,50,80,90,60,80,3.75,100,75,6.7,99.26,134,5.35,100,107,6.7,100,134,Selected,1.45,-0.98,0.98,1.45
BL17                                                                                                                                                                                                                                                           ,0,28,80,5,13,189,133,18,52,70,70,80,70,5.2,100,104,7.7,100,154,5,100,100,6.75,100,135,Selected,1.26,1.14,1.14,1.26
BL18                                                                                                                                                                                                                                                           ,0,33,125,5,13,144,125,25,48,90,90,50,60,6.4,100,128,8,99.38,160,7,100,140,7.4,100,148,Selected,-0.6,-0.26,0.26,0.6
BL19                                                                                                                                                                                                                                                           ,1,40,65,5,10,360,264,23,38,60,60,60,50,4.4,100,88,6.6,97.78,132,4.3,100,86,6.1,100,122,Selected,2.13,0.04,0.04,2.13
BL20                                                                                                                                                                                                                                                           ,1,33,91,6,5,156,198,23,46,90,90,60,60,6.5,100,130,9.2,100,184,5.7,100,114,7.8,100,156,Selected,-0.95,-0.5,0.5,0.95
BL22                                                                                                                                                                                                                                                           ,0,27,42,5,12,72,108,23,48,55,55,90,90,4.95,99,99,6.35,100,127,4.5,98.9,90,5.4,99.08,108,Selected,-0.28,-0.33,0.33,0.28
BL23                                                                                                                                                                                                                                                           ,0,24,103,5,13,63,103,17,50,90,90,95,95,4.8,97.96,96,5.95,100,119,5.8,100,116,6.15,100,123,Selected,0.33,0.66,0.66,0.33
BL24                                                                                                                                                                                                                                                           ,1,35,141,7,13,265,133,30,49,60,60,60,50,7.25,99.32,145,7.2,100,144,6.9,100,138,5.7,97.44,114,Selected,-0.81,-0.05,0.05,0.81
BL25                                                                                                                                                                                                                                                           ,0,29,40,5,8,228,54,26,51,65,60,75,85,4.9,98.99,98,8.45,99.41,169,7.35,100,147,7.75,99.36,155,Selected,0.88,-2.78,2.78,0.88
BL26                                                                                                                                                                                                                                                           ,0,32,36,4,13,204,45,21,39,30,50,50,40,4.45,98.89,89,5.25,100,105,5.35,98.17,107,5.35,100,107,Selected,-0.16,0.72,0.72,0.16
BL30                                                                                                                                                                                                                                                           ,0,30,98,5,13,142,118,21,42,80,70,50,60,7.05,100,141,6.8,100,136,5.75,100,115,6.4,100,128,NA,-0.48,0.83,0.83,0.48
BL31,0,29,37,4,13,120,54,18,27,50,70,60,70,5.35,100,107,6.85,90.5,137,4.5,98.9,90,5.4,93.5,108,NA,NA,NA,NA,NA
BL32                                                                                                                                                                                                                                                           ,0,21,88,7,4,204,192,18,58,70,80,95,95,5.45,100,109,8.35,98.81656805,167,6.9,100,138,8.9,100,178,NA,1.87,2.05,2.05,1.87
BL2,0,20,6,4,13,84,48,14,NA,NA,NA,NA,NA,6.5,NA,130,7.85,NA,157,4.75,NA,95,5.85,NA,117,NA,NA,NA,NA,NA
BL3,0,21,8,4,13,96,8,17,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BL4,0,32,55,5,12,96,84,21,49,100,100,70,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BL5,0,29,203,7,0,156,288,14,56,20,50,40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BL10,0,31,44,5,5,180,216,23,50,65,65,50,70,NA,NA,NA,NA,NA,NA,4.75,NA,95,7.65,NA,153,NA,NA,NA,NA,NA
BL14,1,44,68,7,12,132,300,19,52,50,60,90,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BL27,1,34,51,5,13,84,108,21,45,75,75,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BL28,0,29,58,5,13,156,72,20,51,90,90,50,90,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
