"ID","L1_Phon.Comment","L1_Phon.nMark","L1_Phon.nSpike","L1_Phon.nExtreme","L1_Phon.N","L1_Phon.peak_LI","L1_Phon.peak_latency","L1_Phon.peak_se","L1_Phon.peak_laterality","L1_Phon.peak_odd","L1_Phon.peak_even","L1_Phon.mean_LI","L1_Phon.mean_se","L1_Phon.mean_laterality","L1_Phon.mean_odd","L1_Phon.mean_even","L1_Phon.exclusions","L1_Sem.Comment","L1_Sem.nMark","L1_Sem.nSpike","L1_Sem.nExtreme","L1_Sem.N","L1_Sem.peak_LI","L1_Sem.peak_latency","L1_Sem.peak_se","L1_Sem.peak_laterality","L1_Sem.peak_odd","L1_Sem.peak_even","L1_Sem.mean_LI","L1_Sem.mean_se","L1_Sem.mean_laterality","L1_Sem.mean_odd","L1_Sem.mean_even","L1_Sem.exclusions"
6,"NA Trigger channel started in 'up' position.","20","4","0","19","2.332","18.68","0.456","L","3.059","1.525","1.322","0.466","L","2.06","0.501",0,"NA Trigger channel started in 'up' position.","20","0","0","20","2.092","17.08","0.602","L","1.5","2.683","1.31","0.523","L","0.353","2.266",0
7,"NA Trigger channel started in 'up' position.","20","0","0","19","-4.188","6.04","0.904","R","-4.182","-4.195","-3.623","0.727","R","-3.485","-3.776",0,"NA Trigger channel started in 'up' position.","20","8","28","15","-3.485","19.96","1.638","R","-3.354","-3.636","-2.585","1.062","R","-1.442","-3.892",1
8,"NA Trigger channel started in 'up' position.","20","0","0","20","5.138","10.84","0.593","L","6.151","4.124","4.343","0.447","L","5.032","3.653",0,"NA Trigger channel started in 'up' position.","20","0","0","20","3.344","14.68","0.749","L","3.736","2.953","2.789","0.601","L","2.9","2.678",0
12,"NA Trigger channel started in 'up' position.","20","0","0","18","2.879","16.12","0.912","L","4.94","0.818","1.722","0.558","L","3.195","0.25",0,"NA Trigger channel started in 'up' position.","20","0","0","20","1.182","6.44","1.028","bilat","0.97","1.394","0.19","0.859","bilat","0.122","0.258",0
15,"NA Trigger channel started in 'up' position.","20","0","0","20","2.879","18.6","0.432","L","2.496","3.261","1.447","0.424","L","0.943","1.952",0,"NA Trigger channel started in 'up' position.","20","0","0","20","3.048","16.84","0.529","L","2.932","3.163","1.997","0.48","L","2.443","1.551",0
16,NA,"20","0","0","20","5.489","19.88","0.697","L","5.043","5.935","3.206","0.602","L","1.804","4.607",0,NA,"20","0","0","20","4.882","17.08","0.906","L","3.432","6.332","3.719","0.77","L","2.299","5.139",0
17,"NA Trigger channel started in 'up' position.","20","0","0","20","3.848","7","0.686","L","4.12","3.576","3.017","0.438","L","3.085","2.949",0,"NA Trigger channel started in 'up' position.","20","0","0","20","3.287","7.24","0.609","L","3.491","3.082","2.712","0.461","L","3.218","2.206",0
18,NA,"20","0","0","20","3.824","17.08","0.588","L","3.838","3.809","2.799","0.414","L","2.97","2.628",0,NA,"20","0","0","20","2.65","18.76","0.594","L","2.867","2.433","1.47","0.528","L","2.083","0.857",0
19,"NA Trigger channel started in 'up' position.","20","0","0","20","3.442","19.32","0.789","L","3.066","3.819","2.821","0.509","L","2.713","2.93",0,"NA Trigger channel started in 'up' position.","20","7","0","19","3.453","17.4","0.644","L","4.426","2.372","2.645","0.629","L","3.798","1.365",0
20,NA,"20","0","0","20","5.296","10.68","0.858","L","5.544","5.049","4.673","0.702","L","5.096","4.25",0,NA,"20","3","0","20","4.838","17.72","1.189","L","5.361","4.315","3.485","0.89","L","3.617","3.353",0
